Below is the index of all known Key Events (KEs).
    Each line is in the format [id|title], where id is the unique KE number, and title is the KE name.
    Given a user question, identify which KEs are likely relevant and output a list of KE ids, for example:
    [1,3,4,5,78,342]
    
142|Hyperplasia, Hyperplasia
334|Promotion, Hepatocelluar carcinoma
57|Proliferation, Cell proliferation in the absence of cytotoxicity
294|N/A, Unknown
887|Inhibition, NADH-ubiquinone oxidoreductase (complex I)
888|Binding of inhibitor, NADH-ubiquinone oxidoreductase (complex I)
177|Increase, Mitochondrial dysfunction
889|Proteostasis, impaired
188|Neuroinflammation
890|Degeneration of dopaminergic neurons of the nigrostriatal pathway
896|Parkinsonian motor deficits
103|Increase, Ecdysone receptor hyperactivation
988|Decrease, Circulating ecdysis triggering hormone
1264|Increase, Nuclear receptor E75b gene expression
1265|Decrease, Fushi tarazu factor-1 gene expression
1266|Decrease, Circulating crustacean cardioactive peptide
1267|Decrease, Ecdysis motor program activity
993|Decrease, Abdominal muscle contraction
990|Increase, Incomplete ecdysis
350|Increase, Mortality
858|Decreased, PPARalpha transactivation of gene expression
861|Decreased, Ketogenesis (production of ketone bodies)
862|Not Increased, Circulating Ketone Bodies
864|Decreased, Body Weight
863|Increased, Catabolism of Muscle Protein
998|Binding of antagonist, PPAR alpha
1000|stabilization, PPAR alpha co-repressor
1528|Fatty Acid Beta Oxidation, Decreased
219|Reduction, Plasma 17beta-estradiol concentrations
3|Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
406|decreased, Fertility
405|disrupted, ovarian cycle
408|reduction in ovarian granulosa cells, Aromatase (Cyp19a1)
239|Activation, Pregnane-X receptor, NR1I2
319|Loss, Cochlear function
280|Thyroxine (T4) in neuronal tissue, Decreased
281|Thyroxine (T4) in serum, Decreased
295|Induction, Upregulation of glucuronyltransferase activity
757|Hippocampal anatomy, Altered
758|Hippocampal Physiology, Altered
756|Hippocampal gene expression, Altered
961|Increased, Clearance of thyroxine from serum
64|Reduction, Ionotropic GABA receptor chloride channel conductance
616|Occurrence, A paroxysmal depolarizing shift
613|Occurrence, Epileptic seizure
667|Binding at picrotoxin site, iGABAR chloride channel
669|Reduction, Neuronal synaptic inhibition
682|Generation, Amplified excitatory postsynaptic potential (EPSP)
245|Activation, PXR/SXR
195|Inhibition, NMDARs
352|N/A, Neurodegeneration
52|Decreased, Calcium influx
201|Binding of antagonist, NMDA receptors
381|Reduced levels of BDNF
55|Increase, Cell injury/death
341|Impairment, Learning and memory
382|Aberrant, Dendritic morphology
385|Decrease of synaptogenesis
386|Decrease of neuronal network function
